City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Broken Hill,AU,-31.95,141.4333,69.51,40,68,14.97,broken clouds
144,Molodizhne,UA,48.1773,32.6601,28.08,74,32,6.8,scattered clouds
145,Salina,US,38.8403,-97.6114,51.93,43,1,4.61,clear sky
146,Batticaloa,LK,7.7102,81.6924,77.29,86,1,3.44,clear sky
147,Tabou,CI,4.423,-7.3528,79.83,82,22,5.95,few clouds
148,Kyrylivka,UA,46.3759,35.3675,39.76,90,100,12.48,overcast clouds
149,Nikolskoye,RU,59.7035,30.7861,12.02,94,98,6.17,overcast clouds
150,Koslan,RU,63.4564,48.8989,4.21,81,100,12.26,overcast clouds
151,Marfino,RU,55.7028,37.3822,23.34,85,75,4.47,light shower snow
152,Tuatapere,NZ,-46.1333,167.6833,53.82,94,100,10.87,light rain
153,Bluff,NZ,-46.6,168.3333,53.8,90,100,16.62,light rain
154,Abha,SA,18.2164,42.5053,50.25,30,0,4.61,clear sky
155,Bobon,PH,12.5246,124.5636,77.05,77,99,16.42,overcast clouds
156,Saint George,US,37.1041,-113.5841,70.36,26,1,1.01,clear sky
157,Nyaunglebin,MM,17.95,96.7333,67.01,91,73,2.24,broken clouds
158,Champasak,LA,14.75,106.0,58.51,78,73,1.45,broken clouds
159,Kodiak,US,57.79,-152.4072,26.11,68,40,9.22,scattered clouds
160,Umm Kaddadah,SD,13.6017,26.6876,71.69,24,0,12.21,clear sky
161,Price,US,39.5994,-110.8107,54.66,32,1,0.0,clear sky
162,Provideniya,RU,64.3833,-173.3,23.74,97,98,8.37,snow
163,Cherskiy,RU,68.75,161.3,-37.08,100,46,3.62,scattered clouds
164,Husavik,IS,66.0449,-17.3389,13.91,79,21,14.97,few clouds
165,Cabo San Lucas,MX,22.8909,-109.9124,82.71,60,1,5.01,clear sky
166,Udachnyy,RU,66.4167,112.4,-16.6,94,99,19.86,overcast clouds
167,Mar Del Plata,AR,-38.0023,-57.5575,62.1,83,50,7.0,scattered clouds
168,Olafsvik,IS,64.8945,-23.7142,34.68,79,85,13.47,overcast clouds
169,Ambilobe,MG,-13.2,49.05,75.58,76,13,3.27,few clouds
170,Resistencia,AR,-27.4606,-58.9839,78.85,72,0,8.05,clear sky
171,Olinda,BR,-8.0089,-34.8553,80.33,83,75,11.5,mist
172,Ravar,IR,31.2656,56.8055,44.26,49,0,1.36,clear sky
173,Cururupu,BR,-1.8283,-44.8683,75.67,95,62,3.13,broken clouds
174,De-Kastri,RU,51.4667,140.7833,5.36,69,34,3.62,scattered clouds
175,Bilma,NE,18.6853,12.9164,62.82,25,2,12.93,clear sky
176,Taitung,TW,22.7583,121.1444,64.67,55,75,5.75,broken clouds
177,Ofunato,JP,39.0717,141.7167,32.95,58,13,12.55,few clouds
178,Hasaki,JP,35.7333,140.8333,43.29,57,5,15.97,clear sky
179,Manokwari,ID,-0.8667,134.0833,81.99,81,98,9.98,overcast clouds
180,Gull Lake,CA,50.1001,-108.4847,26.96,94,100,13.35,snow
181,Chyhyryn,UA,49.0838,32.6555,31.51,82,57,5.5,broken clouds
182,Cidreira,BR,-30.1811,-50.2056,70.18,79,100,18.7,overcast clouds
183,Gazanjyk,TM,39.2446,55.5154,41.38,78,0,9.04,clear sky
184,Mpulungu,ZM,-8.7623,31.1141,77.32,51,48,5.86,scattered clouds
185,Arraial Do Cabo,BR,-22.9661,-42.0278,73.09,82,5,10.04,clear sky
186,Namibe,AO,-15.1961,12.1522,69.73,72,39,3.69,scattered clouds
187,Bonthe,SL,7.5264,-12.505,80.17,81,72,4.99,broken clouds
188,San Carlos De Bariloche,AR,-41.1456,-71.3082,74.95,16,20,9.22,few clouds
189,Elko,US,41.0002,-115.5012,53.62,34,6,8.93,clear sky
190,Soyo,AO,-6.1349,12.3689,78.03,89,100,4.32,overcast clouds
191,Awjilah,LY,29.1081,21.2869,57.52,53,32,15.88,scattered clouds
192,Daman,IN,20.4167,72.85,74.16,76,6,0.72,clear sky
193,Marsaxlokk,MT,35.8419,14.5431,58.08,88,40,10.36,scattered clouds
194,Pulandian,CN,39.3953,121.9669,46.53,77,1,4.14,clear sky
195,Thompson,CA,55.7435,-97.8558,-9.24,84,75,3.44,light snow
196,Soe,ID,-9.8607,124.284,74.12,72,98,2.62,overcast clouds
197,Kunming,CN,25.0389,102.7183,40.93,100,90,2.24,mist
198,Oussouye,SN,12.485,-16.5469,78.89,63,99,6.62,overcast clouds
199,Torbay,CA,47.6666,-52.7314,29.68,57,40,23.02,scattered clouds
200,Saint Anthony,US,45.0205,-93.218,33.15,58,90,0.0,overcast clouds
201,Lavrentiya,RU,65.5833,-171.0,18.66,93,58,3.69,light snow
202,Saint-Augustin,CA,51.226,-58.6502,21.85,57,33,19.39,scattered clouds
203,Avera,US,33.194,-82.5271,64.71,68,99,5.28,overcast clouds
204,Luancheng,CN,37.8792,114.6517,26.76,45,2,1.95,clear sky
205,Brindisi,IT,40.5833,17.6667,47.77,75,7,6.17,clear sky
206,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,24.16,broken clouds
207,Linao,PH,7.1678,124.9675,77.74,84,70,0.6,broken clouds
208,Yumen,CN,40.2833,97.2,26.73,32,4,0.87,clear sky
209,Ternate,ID,0.8,127.4,79.09,88,100,13.85,moderate rain
210,Fare,PF,-16.7,-151.0167,81.14,64,33,13.71,scattered clouds
211,Meulaboh,ID,4.1363,96.1285,76.23,86,69,3.49,broken clouds
212,Halifax,CA,44.6453,-63.5724,28.45,72,3,1.01,clear sky
213,Codrington,AU,-38.2667,141.9667,61.3,44,7,10.04,clear sky
214,Kahului,US,20.8947,-156.47,76.26,61,40,17.27,scattered clouds
215,Port Blair,IN,11.6667,92.75,78.84,83,40,4.61,mist
216,Nachalovo,RU,46.338,48.2013,46.33,87,90,8.95,overcast clouds
217,Caucaia,BR,-3.7361,-38.6531,85.06,77,40,10.36,scattered clouds
218,Iralaya,HN,15.0,-83.2333,80.69,88,99,7.49,overcast clouds
219,Hualmay,PE,-11.0964,-77.6139,67.68,84,98,9.06,overcast clouds
220,Takoradi,GH,4.8845,-1.7554,80.58,81,69,6.51,broken clouds
221,Shiyan,CN,32.6475,110.7781,44.1,65,1,3.98,clear sky
222,Coahuayana,MX,18.7333,-103.6833,89.08,80,29,3.74,scattered clouds
223,Borova,UA,50.1763,30.1043,28.54,88,95,6.17,overcast clouds
224,Chegdomyn,RU,51.1167,133.0167,-4.34,91,82,0.22,broken clouds
225,Kieta,PG,-6.2167,155.6333,86.23,68,100,3.04,light rain
226,Kuytun,RU,54.3419,101.5036,21.4,79,90,15.37,overcast clouds
227,San Quintin,MX,30.4833,-115.95,62.13,78,8,16.4,clear sky
228,Yablochnyy,RU,47.1661,142.0661,12.15,67,100,14.29,overcast clouds
229,Vestmannaeyjar,IS,63.4427,-20.2734,39.02,64,52,14.09,broken clouds
230,Arlit,NE,18.7369,7.3853,69.39,18,7,7.52,clear sky
231,Nenita,PH,12.4917,124.8044,75.56,84,98,12.62,overcast clouds
232,Prince Rupert,CA,54.3161,-130.3201,37.09,77,40,3.44,scattered clouds
233,Makakilo City,US,21.3469,-158.0858,74.28,73,20,12.66,light rain
234,Kidal,ML,18.4411,1.4078,73.81,15,97,5.48,overcast clouds
235,Noumea,NC,-22.2763,166.4572,86.0,99,57,8.97,broken clouds
236,Ahipara,NZ,-35.1667,173.1667,73.89,68,45,11.81,scattered clouds
237,Yar-Sale,RU,66.8333,70.8333,-22.99,98,24,3.44,few clouds
238,Eureka,US,40.8021,-124.1637,52.41,81,42,1.99,scattered clouds
239,Pisco,PE,-13.7,-76.2167,68.05,77,0,18.41,clear sky
240,Tongliao,CN,43.6125,122.2653,25.07,84,6,12.39,clear sky
241,Khao Wong,TH,16.7001,104.0902,53.96,81,79,5.14,broken clouds
242,Kokkola,FI,63.8385,23.1307,14.94,87,0,4.61,clear sky
243,Pangnirtung,CA,66.1451,-65.7125,19.4,93,90,3.44,light snow
244,Carutapera,BR,-1.195,-46.02,77.95,87,81,6.15,broken clouds
245,Balabac,PH,7.9868,117.0645,81.52,78,92,16.49,overcast clouds
246,Tukrah,LY,32.5341,20.5791,63.09,64,88,23.73,overcast clouds
247,Atikokan,CA,48.7555,-91.6216,11.26,93,95,2.57,overcast clouds
248,Kenora,CA,49.8167,-94.4337,17.58,72,40,3.44,scattered clouds
249,Kruisfontein,ZA,-34.0033,24.7314,59.88,97,100,16.28,light rain
250,Seekonk,US,41.8084,-71.337,41.45,75,75,3.44,broken clouds
251,High Level,CA,58.5169,-117.136,-12.89,77,40,5.75,scattered clouds
252,Xai-Xai,MZ,-25.0519,33.6442,77.34,70,1,9.48,clear sky
253,Panaba,MX,21.2833,-88.2667,70.3,79,2,8.16,clear sky
254,Kurumkan,RU,54.3,110.3,15.48,93,64,4.27,light snow
255,Touros,BR,-5.1989,-35.4608,81.5,80,59,14.23,broken clouds
256,Shellbrook,CA,53.2168,-106.4011,4.23,98,89,5.14,overcast clouds
257,Lorengau,PG,-2.0226,147.2712,84.51,78,100,18.99,heavy intensity rain
258,Walvis Bay,NA,-22.9575,14.5053,61.09,72,0,2.3,clear sky
259,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.84,82,12,5.32,few clouds
260,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,55,20,15.99,few clouds
261,Kavieng,PG,-2.5744,150.7967,83.23,79,100,10.22,moderate rain
262,Lufilufi,WS,-13.8745,-171.5986,87.58,74,91,10.0,light rain
263,Svetlogorsk,BY,52.6333,29.7333,29.62,88,100,7.45,overcast clouds
264,Kyabe,TD,9.4515,18.9449,79.81,27,70,4.61,broken clouds
265,Huangchuan,CN,32.1272,115.0394,45.88,36,97,2.73,overcast clouds
266,Anadyr,RU,64.75,177.4833,0.1,84,90,20.0,snow
267,Sao Filipe,CV,14.8961,-24.4956,76.21,71,96,10.29,overcast clouds
268,Tateyama,JP,34.9833,139.8667,49.1,53,14,10.4,few clouds
269,Tiznit,MA,29.5833,-9.5,54.54,58,2,1.43,clear sky
270,Erdenet,MN,49.0333,104.0833,19.2,43,43,5.48,scattered clouds
271,Chernyshevskiy,RU,63.0128,112.4714,0.0,90,94,11.3,overcast clouds
272,Tigil,RU,57.8,158.6667,22.35,95,100,12.37,light snow
273,Bulacan,PH,14.7928,120.8789,77.92,68,48,14.12,scattered clouds
274,Bahia Blanca,AR,-38.7196,-62.2724,56.53,67,100,8.01,overcast clouds
275,Tambura,SS,5.6,27.4667,75.6,45,73,2.26,broken clouds
276,Miquelon,PM,47.0975,-56.3814,32.14,56,100,31.14,light snow
277,Aklavik,CA,68.2191,-135.0107,-21.17,68,1,3.44,clear sky
