City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Weston,US,2021-11-28 00-57-58,26.1004,-80.3998,66.22,63,8,7.49
155,Constitucion,CL,2021-11-28 01-01-21,-35.3333,-72.4167,52.09,88,0,14.16
156,Barrow,US,2021-11-28 00-59-01,71.2906,-156.7887,-12.12,99,100,7.87
157,Katsuura,JP,2021-11-28 00-59-56,35.1333,140.3,51.91,48,0,13.67
158,Saint-Denis,FR,2021-11-28 01-01-58,48.9167,2.3333,41.77,89,90,10.36
159,Vila Velha,BR,2021-11-28 01-00-22,-20.3297,-40.2925,72.39,80,32,10.11
160,Thompson,CA,2021-11-28 01-00-17,55.7435,-97.8558,16.14,82,34,12.1
161,Hami,CN,2021-11-28 00-57-42,42.8,93.45,24.22,72,78,10.42
162,Rincon,US,2021-11-28 00-56-26,32.296,-81.2354,43.25,74,63,3.91
163,Yumen,CN,2021-11-28 01-01-59,40.2833,97.2,24.48,48,100,21.39
164,Torbay,CA,2021-11-28 00-49-59,47.6666,-52.7314,50.77,93,90,11.5
165,Bud,US,2021-11-28 01-02-00,39.447,-86.1758,44.69,69,100,10.33
166,Makakilo City,US,2021-11-28 00-53-43,21.3469,-158.0858,79.12,64,90,8.05
167,Kampene,CD,2021-11-28 01-02-00,-3.6,26.6667,66.7,100,97,1.68
168,Lagoa,PT,2021-11-28 00-52-19,39.05,-27.9833,61.14,62,89,9.4
169,Pingliang,CN,2021-11-28 01-02-01,35.5392,106.6861,38.14,83,8,0.67
170,Shima,CN,2021-11-28 01-02-01,24.4478,117.8111,67.14,62,37,5.66
171,Oskemen,KZ,2021-11-28 01-02-02,49.9565,82.6119,15.76,67,18,0.0
172,Lubsko,PL,2021-11-28 01-02-02,51.7847,14.972,33.57,88,99,8.41
173,Lebu,CL,2021-11-28 00-56-40,-37.6167,-73.65,52.57,78,0,17.31
174,Red Bank,US,2021-11-28 01-02-03,40.3471,-74.0643,37.22,51,1,3.44
175,Kouroussa,GN,2021-11-28 01-02-03,10.65,-9.8833,74.8,39,45,1.36
176,Gamovo,RU,2021-11-28 01-02-04,57.8652,56.1056,31.62,74,90,13.42
177,Mildura,AU,2021-11-28 01-01-04,-34.2,142.15,76.03,32,5,12.48
178,Chikitigarh,IN,2021-11-28 01-02-04,19.2,84.6167,69.71,88,30,3.89
179,Victor Harbor,AU,2021-11-28 01-02-04,-35.5667,138.6167,69.89,51,0,7.02
180,Bredasdorp,ZA,2021-11-28 00-53-41,-34.5322,20.0403,64.98,72,42,14.85
181,Vanavara,RU,2021-11-28 01-02-05,60.34,102.2797,5.65,95,97,5.48
182,Bengkulu,ID,2021-11-28 00-55-29,-3.8004,102.2655,78.24,82,99,3.53
183,Batagay,RU,2021-11-28 01-02-05,67.6333,134.6333,-7.67,100,100,2.17
184,Isla Aguada,MX,2021-11-28 01-03-06,18.7833,-91.4667,76.93,72,88,5.99
185,Santa Rosa,PH,2021-11-28 00-59-31,14.3122,121.1114,82.38,89,100,6.87
186,Geraldton,AU,2021-11-28 01-03-06,-28.7667,114.6,88.21,18,0,5.75
187,Mpanda,TZ,2021-11-28 01-03-07,-6.3655,31.0409,65.1,86,45,1.12
188,Zemio,CF,2021-11-28 01-03-07,5.0314,25.1361,69.31,42,82,1.52
189,Meulaboh,ID,2021-11-28 01-03-07,4.1363,96.1285,77.43,88,82,7.81
190,Harlingen,US,2021-11-28 01-03-08,26.1906,-97.6961,55.58,82,90,13.8
191,Handan,CN,2021-11-28 01-03-09,36.6006,114.4678,47.77,63,100,6.87
192,Husum,DE,2021-11-28 01-03-09,54.4858,9.0524,39.09,97,100,7.34
193,Warrnambool,AU,2021-11-28 01-03-09,-38.3833,142.4833,62.78,60,0,12.82
194,Punta Gorda,US,2021-11-28 01-03-10,26.9298,-82.0454,62.64,67,1,0.0
195,Ugoofaaru,MV,2021-11-28 01-03-10,5.6667,73.0,81.19,78,100,14.43
196,Ambilobe,MG,2021-11-28 01-03-10,-13.2,49.05,74.48,91,27,2.59
197,Srednekolymsk,RU,2021-11-28 01-03-11,67.45,153.6833,-38.4,100,39,2.51
198,Shenjiamen,CN,2021-11-28 01-03-11,29.9576,122.298,62.15,68,100,14.05
199,Sturgis,US,2021-11-28 01-03-11,41.7992,-85.4192,35.44,100,90,0.0
200,Namie,JP,2021-11-28 01-03-12,37.4833,141.0,49.24,59,9,13.24
201,Camana,PE,2021-11-28 01-03-12,-16.6228,-72.7111,66.69,84,59,6.98
202,Wajima,JP,2021-11-28 01-03-12,37.4,136.9,48.65,53,26,7.76
203,Djambala,CG,2021-11-28 01-03-13,-2.5447,14.7533,66.27,94,96,2.59
204,San Quintin,MX,2021-11-28 01-03-13,30.4833,-115.95,63.46,66,0,3.31
205,Sambava,MG,2021-11-28 00-53-37,-14.2667,50.1667,74.82,86,10,3.76
206,Tazovskiy,RU,2021-11-28 00-55-08,67.4667,78.7,1.06,96,100,6.76
207,Nanyang,CN,2021-11-28 01-03-14,32.9947,112.5328,50.49,51,100,6.69
208,Sibu,MY,2021-11-28 01-03-14,2.3,111.8167,80.33,80,96,3.51
209,Jumla,NP,2021-11-28 01-03-15,29.2747,82.1838,37.4,36,0,4.38
210,Port Lincoln,AU,2021-11-28 00-56-29,-34.7333,135.8667,64.89,64,0,9.35
211,Aykhal,RU,2021-11-28 00-57-54,66.0,111.5,-9.81,95,100,12.15
212,Kavieng,PG,2021-11-28 00-58-55,-2.5744,150.7967,84.25,67,97,2.53
213,Faanui,PF,2021-11-28 00-52-01,-16.4833,-151.75,81.37,73,17,17.85
214,Karratha,AU,2021-11-28 00-53-48,-20.7377,116.8463,93.88,18,0,25.77
215,Husavik,IS,2021-11-28 01-03-16,66.0449,-17.3389,26.04,86,100,5.01
216,Arys,KZ,2021-11-28 01-03-16,42.4252,68.795,28.62,52,6,3.02
217,San Buenaventura,MX,2021-11-28 01-03-16,27.0833,-101.5333,59.31,53,81,2.77
218,Floro,NO,2021-11-28 01-03-10,61.5996,5.0328,28.36,74,1,9.22
219,Gamba,GA,2021-11-28 01-03-17,-2.65,10.0,76.42,88,100,2.13
220,Uvat,RU,2021-11-28 01-03-17,59.1433,68.8953,22.66,94,96,9.69
221,Kasongo-Lunda,CD,2021-11-28 01-03-18,-6.4667,16.8167,68.13,98,84,0.49
222,Fougamou,GA,2021-11-28 01-03-19,-1.2154,10.5838,72.48,98,100,0.78
223,Northam,GB,2021-11-28 01-03-19,51.0333,-4.2167,40.21,60,87,18.41
224,Garden City,US,2021-11-28 01-01-23,42.3256,-83.331,31.95,93,90,4.61
225,Malaya Purga,RU,2021-11-28 01-03-19,56.5567,53.0043,11.17,87,60,7.2
226,Flinders,AU,2021-11-28 01-03-20,-34.5833,150.8552,61.3,79,96,11.81
227,Tromso,NO,2021-11-28 01-03-20,69.6496,18.957,19.42,63,0,13.8
228,Riyadh,SA,2021-11-28 01-03-21,24.6877,46.7219,60.94,37,0,7.31
229,Muravlenko,RU,2021-11-28 01-03-21,63.7898,74.523,3.13,96,98,10.74
230,Casambalangan,PH,2021-11-28 01-03-21,18.3765,122.1274,78.64,87,100,13.47
231,Abu Dhabi,AE,2021-11-28 01-00-31,24.4667,54.3667,79.27,73,1,12.73
232,Port Macquarie,AU,2021-11-28 01-00-58,-31.4333,152.9167,64.36,78,100,10.49
233,Weymouth,US,2021-11-28 01-04-22,42.2209,-70.9398,33.78,53,1,18.41
234,Viedma,AR,2021-11-28 01-04-22,-40.8135,-62.9967,62.38,84,100,4.07
235,Carnarvon,AU,2021-11-28 01-04-23,-24.8667,113.6333,100.47,10,0,12.66
236,Diffa,NE,2021-11-28 01-04-23,13.3154,12.6113,72.19,29,31,9.04
237,Smithers,CA,2021-11-28 01-03-27,54.7804,-127.1743,28.8,97,98,2.77
238,Sur,OM,2021-11-28 01-04-24,22.5667,59.5289,74.39,50,34,5.03
239,Fukue,JP,2021-11-28 01-04-24,32.6881,128.8419,55.98,49,0,13.27
