City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
85,Quelimane,MZ,80.55,clear sky,-17.8786,36.8883,Hotel Flamingo
86,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
92,Wanning,CN,69.31,overcast clouds,18.8003,110.3967,Paradise Hotel
102,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
109,Mangrol,IN,74.01,clear sky,21.1167,70.1167,Hotel The Royal Honours
116,Port Alfred,ZA,67.91,light rain,-33.5906,26.891,The Halyards Hotel
118,Mitu,CO,71.42,overcast clouds,1.1983,-70.1733,
122,Waipawa,NZ,68.63,broken clouds,-41.4122,175.5153,Tora Coastal Walk
124,Port Augusta,AU,73.71,light rain,-32.5,137.7667,Majestic Oasis Apartments
125,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
126,Grand-Santi,GF,73.2,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
131,Sabancuy,MX,78.06,scattered clouds,18.9667,-91.1833,Casa Chakchel
132,Chaparral,CO,69.33,overcast clouds,3.7232,-75.4832,HOTEL AMBEIMA
135,Vao,NC,76.53,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
138,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
139,Sorong,ID,81.03,broken clouds,-0.8833,131.25,Waigo Splash Hotel
142,Faanui,PF,81.23,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Broken Hill,AU,69.51,broken clouds,-31.95,141.4333,Royal Exchange Hotel
146,Batticaloa,LK,77.29,clear sky,7.7102,81.6924,Grand Star Guest House
147,Tabou,CI,79.83,few clouds,4.423,-7.3528,hotêl doufoulougou
155,Bobon,PH,77.05,overcast clouds,12.5246,124.5636,Fairways
156,Saint George,US,70.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
157,Nyaunglebin,MM,67.01,broken clouds,17.95,96.7333,Thi ha
160,Umm Kaddadah,SD,71.69,clear sky,13.6017,26.6876,
169,Ambilobe,MG,75.58,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
170,Resistencia,AR,78.85,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
171,Olinda,BR,80.33,mist,-8.0089,-34.8553,Hotel Albergue de Olinda
173,Cururupu,BR,75.67,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
179,Manokwari,ID,81.99,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
182,Cidreira,BR,70.18,overcast clouds,-30.1811,-50.2056,Hotel Castelo
184,Mpulungu,ZM,77.32,scattered clouds,-8.7623,31.1141,Chela moche guest house
185,Arraial Do Cabo,BR,73.09,clear sky,-22.9661,-42.0278,Pousada Porto Praia
186,Namibe,AO,69.73,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
